https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|NGC 346 |00 59.1|-72 11| 10.3  |            |                  | 14.0       |C+N        |302.10|-44.93|S           |Tuc          |B, L, viF, mbM D*, r                                 |                                  OPEN STAR CLUSTER|
|IC 5009 |20 32.6|-72 10|       |            |                  |            |U          |322.30|-33.40|D           |Pav          |vF, vS, bM                                           |                                       UNIDENTIFIED|
|NGC 299 |00 54.0|-72 10| 11.0  |p           |                  |            |C+N        |302.65|-44.96|R           |Tuc          |pB, vS, R, gvlbR, r                                  |                                  OPEN STAR CLUSTER|
|NGC 371 |01 03.3|-72 05|       |            |                  |  8.0       |OC         |301.64|-45.02|S           |Tuc          |Cl, F, L, R, pC, st 14...16                          |                                  OPEN STAR CLUSTER|
|NGC 104 |00 24.1|-72 05|  4.0  |            |                  | 30.9       |Gb         |305.89|-44.89|S           |Tuc          |glob. cl.  !! vB, vL, vmCM                           |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 1890|05 13.9|-72 04|       |            |                  |            |OC         |283.36|-33.16|R           |Men          |vF, S, R, glbM                                       |                                  OPEN STAR CLUSTER|
|IC 1624 |01 05.3|-72 02|       |            |                  |            |U          |301.42|-45.05|D           |Tuc          |vF, S, R                                             |                                       UNIDENTIFIED|
|NGC 395 |01 05.3|-72 00|       |            |                  |            |U          |301.42|-45.09|DD          |Tuc          |group of about 10 st, no neb                         |                                       UNIDENTIFIED|
|IC 5045 |20 50.7|-71 58|       |            |                  |            |U          |322.02|-34.79|D           |Pav          |eF, eS, R                                            |                                       UNIDENTIFIED|
|IC 5044 |20 50.6|-71 57|       |            |                  |            |U          |322.04|-34.79|D           |Pav          |eF, eS, R                                            |                                       UNIDENTIFIED|
|NGC 2000|05 27.4|-71 55|       |            |                  |            |OC         |282.91|-32.17|R           |Men          |F, pL, R, vlbM                                       |                                  OPEN STAR CLUSTER|
|NGC 1789|04 57.8|-71 54|       |            |                  |            |OC         |283.59|-34.40|R           |Men          |vF, pS, R, vglbM                                     |                                  OPEN STAR CLUSTER|
|IC 5075 |21 04.5|-71 51|       |            |                  |            |U          |321.67|-35.83|D           |Pav          |vF, S, cbM                                           |                                       UNIDENTIFIED|
